"","raceeth_f","Hyst","Pop","prev.4yr","prevpct.4yr"
"1","Hispanic",26691.6386320303,524736.208514117,0.0508667749603413,5.08667749603413
"2","NH American Indian",4929.41796856842,51127.4452076124,0.0964143220642379,9.64143220642379
"3","NH Asian/PI",852.7694,105119.111668642,0.008112410640304,0.8112410640304
"4","NH Black",69749.0019560762,1124324.66713266,0.0620363530171012,6.20363530171012
"5","NH White",178804.707908682,2939243.1568204,0.0608335882296001,6.08335882296001
